25 60
T0	10?1100110010?1111111111?
T1	1101?010??1100?1?11000???
T2	1001??0?001?001010?1?0??1
T3	?????00010111000?11000?01
T4	?01?01?0101?0???1??011?0?
T5	?10?001?0011?00?0000110?1
T6	1000000000101101?0011?1?1
T7	?001?01?000000000?1??1???
T8	??10?0111?10???0?1000?010
T9	10?1?10?1???0?0?0?1?0?1?1
T10	011111110111???0?11?01100
T11	?1011??11101100?001110100
T12	1?00??111110??1??00?0100?
T13	?0010?0?1?001000?0?01???0
T14	111?00100110????00??001?0
T15	?010101?0010100011010?111
T16	000???010?0?0001?1??0100?
T17	01?0??10?011?????1000000?
T18	110?00?1100?00?1001??110?
T19	1110????01?0101000000101?
T20	1010?101??0001100010?0110
T21	????0?1010110?010?1000111
T22	00??0000100?01?1?11?00010
T23	??1111?00000?1?1010010101
T24	1???1?00100?1?00?0??01010
T25	100110?010?11?001010????1
T26	0010101?0101??001??0?0?00
T27	0100?1?0001??10?0??001010
T28	001011??00?1?10?110100110
T29	???0?00101??1???000010?0?
T30	???00?011?100?0?100??001?
T31	100??10100110100?0?011101
T32	010000?00000???1??1100000
T33	?100?000?00??0000?1101111
T34	01000???100???001?0????00
T35	0?111011100??110100?111??
T36	?1010101?0?0010?0?1?1?101
T37	11011?0??000001000?01?100
T38	1?0011?011??0?010?1??00?0
T39	?1??101110??1????01?10?11
T40	1100?01?10010000?1???001?
T41	0?00001?0000001?10?0?00?1
T42	010?0?010???10?0111?111?0
T43	1011000?0001101??111000??
T44	0?11??00011100?101?011101
T45	??00100010111?1??1?0?1000
T46	000?0001?10??100000?01???
T47	00001001?0111?101?0?01100
T48	?0?010?110110???1??101??0
T49	010001??0?1??010?00000?11
T50	1110?01101?001100110111?0
T51	000100??0???000000?00101?
T52	0001001001110?001100??0?1
T53	00??0111???1??0??11000??1
T54	001?1?10??0?1?0?10?101110
T55	?0011011?10001100000?????
T56	0?01?0?0000100010?00?0110
T57	?0?0??11?01?010?100?1?011
T58	0100???1100??1?011?001010
T59	?0001?01???0010?11?10?101
