34 42
T0	1000??111110010?000?110111?0011?10
T1	001101100100?101111?11?00010001101
T2	0011010?1?1?0??000?0?0?001010100?1
T3	0111?1100111010?1?00?01001?000010?
T4	1010110?010110010????1?0?1001110??
T5	0010111?1011?111000?11000?11100001
T6	00111?101110101101?01?11?00?00?110
T7	0001001?110?110?10?01100??11111010
T8	00000???1?0?1?10001?110??100?11?10
T9	1101101?010100000?1001110001??011?
T10	101??1?1011?1?00000?1?10001110110?
T11	0011?01?0?01?10?0?10000???0000?011
T12	100?0?00111101010???1000101100?101
T13	0010?111??00?001011010011010010100
T14	0101000001000??101111?01?01?011011
T15	0?001?010?1001?001??01010??0??1001
T16	1010011100100110?00?0?00?0?10101?0
T17	101?0??01011??0?100010?11100?000?0
T18	01100101101000???1110?11011011?101
T19	?101?000?00?0011??11?01110111???0?
T20	0?11?00011110?1?01?1111??01010011?
T21	1000??010?1101?1??111011?111?00110
T22	11101000???110110010?010?001?00111
T23	10?11100000100??11110000010?110?11
T24	?0111?1?01?1100???001001?011?11000
T25	??1000?1111?0000??1111100110101110
T26	11011010?1010?111011?1000??0110100
T27	0011111010110??11?01?0111?1?001010
T28	0111?11100111110?1?0001011110?00?1
T29	0?1?0011?1???001?00?1100011111??11
T30	110101?0?1?11010?00011101000?00000
T31	1111?10000001101?11000010001?00001
T32	???01000000110?0?0?0?0?000?0111001
T33	10?11???100110?0000111010?1?111001
T34	0000?1?11100101?100010?010??01101?
T35	010??11?11?010?111?1110??0001??10?
T36	0101000?010??01?10111??10001?1111?
T37	1?1101100??0?0001101?0?011?11011??
T38	01110010010000?0100000001000111?01
T39	1?100111111?1?000000001?1?1?111000
T40	01?1?10?1?10?00?111?1010??0?000000
T41	010110100100001100010?1011010?00?0
