61 45
N0001 ??00?101??1?0111?010?010110100001010000010010?1110010010??1?0
N0002 111?1??00101000?1100?000?1?10000?0?0??0?001011110111101?10111
N0003 ?1001?11?10101001??10111??10?101100??001?0001111?01?111??110?
N0004 010000?011110110010111100?11100?0?10?1?0011110?10??0?00?110?1
N0005 ?0011??01011001101?00?0?000?101110010000?001?1010101010??0000
N0006 1111000?001100000?1001?001110??010?1000010010101101111?1??0?0
N0007 111??0??01??10101110111?10101??0?0111010100101110?00001?10001
N0008 0?00100???00101100101111101010?01111000??101110?0010??010??11
N0009 0101010?11001?10?0000000?1?101100?100?1010?11??11001111110000
N0010 101101?1??1101??11?11000?10011011010010?110101011???110?01101
N0011 10001??10?00000111??1?0100?111?10?1010010011?001?1000?1??0010
N0012 10?111000001010?010011?011111101001?1000001100000001110010111
N0013 0?0001011010?0??01000?111?0100111?010??11?100011101?????100?0
N0014 ?110???10??11?1100?01?011001?10?10??1?0??1?0001?000100100?100
N0015 01111000100??11110?100011?1000111?010?0011110011000001100001?
N0016 000110010??10100?0010101?000000101100?1110?01010100100010?100
N0017 111111111110001111???0010101011100101100?1?11101?001110000111
N0018 0111?01010100111?010101001?0?001?0?101110?110?101?000001?1101
N0019 ??10?010110110001111?01011?10000110100101001?0111111?01000?10
N0020 000?010001?1?1?1111?0??111?101?10001??0?1?00?00000?000111??01
N0021 1??10?00?0100011100??0111?11?01?1?1110011100010111010??1000??
N0022 1?111?0010?1110?000000010010?1000011111??111?0???01000?01100?
N0023 0????100100?00?1?110001?1000?0011?1010111?10??1?1?111000?01?1
N0024 ?10001?110?10??0100001110?011?01?11?10?0001?100???0?010100010
N0025 1000?001101????01000111?00001?0111?10?0111?11110??10?101??110
N0026 0?0?000??11000010?1?11100010???0??1110?01001?1?000?10?1000100
N0027 01?0101??100?11?0?110001111?0100?001101?01100111?10??10101??1
N0028 001?11??0100?110?11??10????00011110?011?0101011111?1000010??0
N0029 01?0111001?010111?1110?01?01001110000101?0?100?1?00?0000?001?
N0030 0?00?10010?011?11?010001??01110?001?0011110011100?10010000000
N0031 ?1101?01??0100111?0?0?1011100?01?1?1?0?0?10010010010011010000
N0032 11110?10110111111?001001?01011100?0?1000101?100100000101????1
N0033 1001101101011?10000?1?010?0011??010010001?1101101001?11100111
N0034 11?01110001011100??011?000?01?0101?01?11??1?00?10001110000110
N0035 101?10100111101111000?10011101?010011??010100110110?11?0??1?1
N0036 000?1110?0???00000001?1110110011001?11100100111?1011??101?110
N0037 001??1111?110??00110011?10???0??11?1??0??1??1100??000001??111
N0038 1?10000001?011000110011?01?1001?1000111??01011011110010100010
N0039 00100111110??1101?000?101??00?11?10101000?01?0?0?000110?11?00
N0040 ??101?1101?1001111??100110000?01?110010?1?0011?010??1000?1111
N0041 1101000??000?10?011011001101?110100?1011101?01000010?0001?001
N0042 011?00101?0010111??11?1?101011?0?10?11101??11100?1?00000100?0
N0043 1100011??00101000110101?0010101?11001?10100?11?10101?0111?011
N0044 111110?000001111000110111001111?10110?110?11111?11?101?00100?
N0045 1101??01??010100?0011110000100?01101000001??11?1001101100?110
tread
Percentual de inderteminacao ('?'): 20
